property_type,sector,society,price,price_per_sqft,area,super_built_up_area,built_up_area,carpet_area,bedRoom,bathroom,balcony,floorNum,agePossession,store room,servant room,puja room,study room,others,East,North,North-East,North-West,South,South-East,South-West,Unknown,West,furnish_type,luxury_score
house,sector 50,,10.45,38703.0,2700.05,,4000.0,,4.0,5.0,2,3.0,moderately old,0,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,142.0
house,sector 48,vipul tatvam villa,19.5,22222.0,8775.09,,8775.0,,5.0,6.0,3,2.0,moderately old,1,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,134.0
house,sector 82,,7.5,23148.0,3240.02,,3240.0,,5.0,5.0,3+,2.0,relatively new,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,151.0
house,sector 4,,0.67,8557.0,782.98,,783.0,,3.0,2.0,1,1.0,moderately old,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,150.0
house,sector 109,international city by sobha phase ,5.75,16428.0,3500.12,,4800.0,3500.0,4.0,4.0,2,3.0,relatively new,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,159.0
house,sector 89,smart world gems,1.25,8784.0,1423.04,,1423.0,,3.0,3.0,2,1.0,under construction,0,0,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,137.0
flat,sector 89,smart world gems,0.86,7796.0,1103.13,1103.0,1103.0,,2.0,3.0,3,4.0,under construction,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,137.0
flat,sector 89,smart world gems,1.71,12000.0,1425.0,,1423.0,,3.0,2.0,No,3.0,unknown,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,137.0
flat,sector 89,smart world gems,1.1,9972.0,1103.09,,1103.0,,3.0,1.0,No,0.0,unknown,1,1,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,137.0
flat,sector 89,smart world gems,0.9,8145.0,1104.97,,1105.0,,2.0,2.0,2,1.0,unknown,0,1,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,137.0
flat,sector 89,smart world gems,0.88,7978.0,1103.03,,1103.0,,2.0,2.0,No,2.0,unknown,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,137.0
flat,sector 89,smart world gems,1.2,8433.0,1422.98,,1423.0,920.0,3.0,3.0,2,2.0,unknown,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,137.0
flat,sector 89,smart world gems,1.2,8433.0,1422.98,,1423.0,920.0,3.0,3.0,2,2.0,unknown,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,137.0
flat,sector 89,smart world gems,0.85,7706.0,1103.04,,,1103.0,2.0,2.0,2,2.0,under construction,0,0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,137.0
flat,sector 89,smart world gems,1.71,12000.0,1425.0,,1423.0,,3.0,2.0,No,3.0,unknown,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,137.0
house,sector 50,,7.0,23333.0,3000.04,,3400.0,3000.0,4.0,4.0,2,3.0,old,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,187.0
house,sector 48,vipul tatvam villa,8.5,21250.0,4000.0,,4000.0,,4.0,5.0,3+,2.0,moderately old,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,158.0
house,sector 93,dlf gardencity enclave,1.3,11284.0,1152.07,,1152.0,,3.0,2.0,1,3.0,relatively new,0,1,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,169.0
house,sector 109,international city by sobha phase ,12.5,26667.0,4687.44,,4500.0,,5.0,6.0,3,3.0,relatively new,1,1,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,160.0
house,sector 109,international city by sobha phase ,6.8,12593.0,5399.83,,5400.0,,4.0,5.0,3,2.0,relatively new,0,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,157.0
house,sector 109,international city by sobha phase ,9.5,26389.0,3599.98,,3600.0,,7.0,6.0,3,3.0,relatively new,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,147.0
house,sector 109,international city by sobha phase ,7.0,12963.0,5399.98,,5400.0,,5.0,6.0,2,2.0,relatively new,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,188.0
house,sector 109,international city by sobha phase ,6.2,25514.0,2430.04,,2430.0,,5.0,5.0,2,2.0,relatively new,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,135.0
house,sector 56,huda sector- gurgaon,3.6,24845.0,1448.98,,1449.0,,5.0,5.0,3+,3.0,moderately old,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,133.0
house,sector 109,international city by sobha phase ,5.9,24280.0,2429.98,,2430.0,,4.0,5.0,2,2.0,relatively new,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,52.0
house,sector 109,international city by sobha phase ,5.85,26423.0,2213.98,,2214.0,,4.0,5.0,3+,2.0,relatively new,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,158.0
house,sector 70,bptp visionnaire,4.0,6666.0,6000.6,,6000.0,,4.0,4.0,3+,2.0,relatively new,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,141.0
house,sector 70,bptp visionnaire,5.35,8916.0,6000.45,,6000.0,,4.0,4.0,3+,3.0,relatively new,1,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,124.0
house,sector 25,,6.6,36667.0,1799.98,,1800.0,,6.0,7.0,3+,2.0,moderately old,0,1,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,118.0
house,sector 109,international city by sobha phase ,6.3,9000.0,7000.0,,7000.0,4500.0,4.0,5.0,3+,2.0,relatively new,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,128.0
